SPORE,Total renewable capacity,Electrolysis capacity ,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
331,0.439246667,0.06,0.999363039,0.998211456,0.845914073,1
332,0.414621242,0.018,0.998942995,0.99732464,0.681130624,0.927569444
333,0.416418981,0.045,0.99514418,0.996060164,0.49896542,0.888624201
334,0.511136841,0.066,1,0.990181785,0.777622158,0.842383988
335,0.439465498,0.031,0.997944503,0.99770818,0.815326232,0.931205681
336,0.409028584,0.018,0.993342522,0.998136505,0.437136929,0.860592056
337,0.417092095,0.065,0.995825637,0.998860229,0.537207506,0.873834177
338,0.413078344,0.037,0.994735145,0.99757617,0.489242245,0.86547944
339,0.40432787,0.064,0.9995769,0.996388026,0.78487609,0.969141042
340,0.415288816,0.017,0.999791103,0.998616779,0.643344864,0.842666071
341,0.448465274,0.072,0.999877881,0.993131562,0.774463452,0.998842212
342,0.672082967,0.537,0.9932845,0.584665027,0.000630521,1.52E-07
343,0.673855776,0.539,0.993160726,0.587120629,0.004364882,6.55E-08
344,0.672479079,0.537,0.993412698,0.586425638,0.002480122,8.76E-06
345,0.679312704,0.546,0.99294397,0.580446771,0.004732039,8.80E-05
346,0.672736691,0.538,0.993146798,0.586067713,0.002779122,6.52E-06
347,0.673498445,0.539,0.993160814,0.585612398,0.001596274,1.65E-05
348,0.672692371,0.538,0.993063636,0.586677457,0.002990297,1.89E-05
349,0.672886272,0.539,0.993212474,0.586235596,0.006004658,1.80E-07
350,0.672808711,0.538,0.993209733,0.587308363,0.001785414,3.44E-06
351,0.672351659,0.537,0.993098268,0.586248493,0.002203611,3.11E-05
352,0.673030312,0.538,0.993167492,0.586510658,0.001625195,2.08E-05
353,0.668772801,0.534,0.992864873,0.583013595,0.004299413,3.77E-05
354,0.673262993,0.538,0.993294084,0.586741882,0.004650301,1.17E-07
355,0.672764391,0.537,0.993224144,0.585894359,0.004401151,5.15E-11
356,0.669343424,0.535,0.99298381,0.582376863,0.003437805,2.51E-05
357,0.672900122,0.538,0.993142841,0.584584958,0.003831845,7.31E-06
358,0.672706221,0.538,0.99318402,0.586651062,0.003135968,1.13E-06
359,0.672853031,0.538,0.993288643,0.587331416,0.003439056,4.82E-07
360,0.673110643,0.538,0.993221514,0.587025156,6.95E-12,8.10E-09
361,0.67267852,0.538,0.99324159,0.58664444,0.001045606,1.42E-05
362,0.671972167,0.535,0.993422762,0.586579726,0.000929672,3.71E-07
363,0.673135573,0.539,0.993189927,0.584524759,0.000944973,7.39E-06
364,0.669429294,0.535,0.992942787,0.583346888,0.004004267,3.64E-08
365,0.673046932,0.538,0.993297405,0.587839277,0.002615207,2.48E-06
366,0.104351969,0.247,1,0.70762309,0.268705575,0.221098519
367,0.233523264,0.277,1,0.669219792,0.248173193,0.235245837
368,0.214484957,0.285,1,0.694378304,0.257928938,0.227551317
369,0.476636317,0.352,1,0.639688017,0.316951696,0.340426891
370,0.192997958,0.258,1,0.677448116,0.260478834,0.244650556
371,0.330185674,0.287,1,0.649570889,0.250583673,0.269004731
372,0.075408092,0.231,1,0.718939049,0.2593178,0.218700893
373,0.151483758,0.256,1,0.672978978,0.267731799,0.209295175
374,0.092407669,0.243,1,0.709500195,0.244624291,0.21692866
375,0.178640976,0.268,1,0.683137903,0.253877917,0.22934097
376,0.107825567,0.246,1,0.710269001,0.238446078,0.211463103
377,0.302754225,0.303,1,0.601394889,0.29470034,0.256281616
378,0.283416757,0.295,1,0.667557336,0.272683141,0.214845381
379,0.11431017,0.256,1,0.700652276,0.257920013,0.208506488
380,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
381,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
382,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
383,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
384,0.55425765,0.392,0.98799947,0.711603036,0.284165094,0.506832491
385,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
386,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
387,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
388,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
389,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
390,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
391,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
392,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
393,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
394,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
395,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
396,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
397,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
398,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
399,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
400,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
401,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
402,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
403,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
404,0.544892233,0.397,0.986475671,0.712708126,0.305964088,0.551813561
405,0.055372581,0.211,1,0.769359623,0.358527551,0.377256295
406,0.148439513,0.199,1,0.799924102,0.387078307,0.46645665
407,0.140489572,0.21,1,0.762843709,0.270073111,0.380260696
408,0.413407976,0.249,1,0.72462745,0.472383983,0.495110365
409,0.225570554,0.193,1,0.782185907,0.328371281,0.419156929
410,0.091058672,0.192,1,0.798789423,0.311242871,0.409458485
411,0.138525632,0.229,1,0.75522227,0.28940171,0.446821302
412,0.083668274,0.198,1,0.804272752,0.366305941,0.373277006
413,0.076643519,0.221,1,0.751488812,0.329204861,0.381013308
