SPORE,Total solar capacity ,Battery storage,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
381,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
382,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
383,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
384,0.427795784,0.533,0.98799947,0.711603036,0.284165094,0.506832491
385,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
386,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
387,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
388,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
389,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
390,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
391,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
392,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
393,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
394,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
395,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
396,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
397,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
398,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
399,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
400,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
401,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
402,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
403,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
404,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
405,0.202898712,0.074,1,0.769359623,0.358527551,0.377256295
406,0.240164685,0.097,1,0.799924102,0.387078307,0.46645665
407,0.246790313,0.066,1,0.762843709,0.270073111,0.380260696
408,0.393267661,0.126,1,0.72462745,0.472383983,0.495110365
409,0.279802187,0.073,1,0.782185907,0.328371281,0.419156929
410,0.230973219,0.053,1,0.798789423,0.311242871,0.409458485
411,0.175443766,0.049,1,0.75522227,0.28940171,0.446821302
412,0.226426063,0.052,1,0.804272752,0.366305941,0.373277006
413,0.222469798,0.048,1,0.751488812,0.329204861,0.381013308
414,0.244988971,0.073,1,0.784542262,0.352367788,0.404123406
415,0.243745073,0.073,1,0.757515254,0.318241856,0.414826914
416,0.209078385,0.054,1,0.781299378,0.331142163,0.387788669
417,0.157535457,0.078,1,0.75282333,0.403883831,0.467652019
